ListofE-waste Collection Points (updated asof 18 May 2022),,,,,,,,,

S/N,E-waste Collection Points,,Collection Type,Location,Postal Code,Directions,Remarks,Website,

1,ALBA E-WASTE SMART RECYCLING PTE LTD,,1. Permanent E-bin,20 TUAS LOOP,637350,"https://www.google.com/maps/dir/?api=1&destination=1.320382282,103.6
364225
https://www.google.com/maps/dir/?api=1&destination=1.380029197,103.7
52433
https://www.google.com/maps/dir/?api=1&destination=1.300992787,103.8
383058
https://www.google.com/maps/dir/?api=1&destination=1.287436414,103.8
411759
https://www.google.com/maps/dir/?api=1&destination=1.322051058,103.8
699123
https://www.google.com/maps/dir/?api=1&destination=1.437130524,103.7
952899
https://www.google.com/maps/dir/?api=1&destination=1.427143164,103.7
922885
https://www.google.com/maps/dir/?api=1&destination=1.286757018,103.8
009262
https://www.google.com/maps/dir/?api=1&destination=1.397127926,103.8
866657
https://www.google.com/maps/dir/?api=1&destination=1.366766882,103.8
407422
https://www.google.com/maps/dir/?api=1&destination=1.336016588,103.9
498978
https://www.google.com/maps/dir/?api=1&destination=1.323405599,103.9
416844
https://www.google.com/maps/dir/?api=1&destination=1.378324499,103.9
038444
https://www.google.com/maps/dir/?api=1&destination=1.350819796,103.7
118153
https://www.google.com/maps/dir/?api=1&destination=1.3439483,103.705
376
https://www.google.com/maps/dir/?api=1&destination=1.345163236,103.7
079065
https://www.google.com/maps/dir/?api=1&destination=1.344801073,103.7
022265
https://www.google.com/maps/dir/?api=1&destination=1.349691655,103.8
771868
https://www.google.com/maps/dir/?api=1&destination=1.347714896,103.8
736747
https://www.google.com/maps/dir/?api=1&destination=1.352887299,103.8
671262
https://www.google.com/maps/dir/?api=1&destination=1.375928006,103.7
486469
https://www.google.com/maps/dir/?api=1&destination=1.384798996,103.8
819612
https://www.google.com/maps/dir/?api=1&destination=1.300117893,103.8
561916
https://www.google.com/maps/dir/?api=1&destination=1.285254271,103.8
158285
https://www.google.com/maps/dir/?api=1&destination=1.376353352,103.7
706518
https://www.google.com/maps/dir/?api=1&destination=1.273636015,103.8
258443
https://www.google.com/maps/dir/?api=1&destination=1.338656776,103.7
785605
https://www.google.com/maps/dir/?api=1&destination=1.443255054,103.8
305695
https://www.google.com/maps/dir/?api=1&destination=1.333263518,103.7
403175
https://www.google.com/maps/dir/?api=1&destination=1.352604683,103.9
446826
https://www.google.com/maps/dir/?api=1&destination=1.436107845,103.7
856887
https://www.google.com/maps/dir/?api=1&destination=1.286308535,103.8
280048
https://www.google.com/maps/dir/?api=1&destination=1.340690067,103.9
493525
https://www.google.com/maps/dir/?api=1&destination=1.285104719,103.8
447282
https://www.google.com/maps/dir/?api=1&destination=1.375148987,103.8
828942
https://www.google.com/maps/dir/?api=1&destination=1.314745047,103.8
934127
https://www.google.com/maps/dir/?api=1&destination=1.311351699,103.8
567241
https://www.google.com/maps/dir/?api=1&destination=1.318815195,103.7
681537
https://www.google.com/maps/dir/?api=1&destination=1.283856984,103.8
521282
https://www.google.com/maps/dir/?api=1&destination=1.392094156,103.8
9498
https://www.google.com/maps/dir/?api=1&destination=1.388313116,103.8
939236
https://www.google.com/maps/dir/?api=1&destination=1.386818298,103.8
975474
https://www.google.com/maps/dir/?api=1&destination=1.283273186,103.8
192573
https://www.google.com/maps/dir/?api=1&destination=1.283515217,103.8
468789
https://www.google.com/maps/dir/?api=1&destination=1.292602527,103.8
109718
https://www.google.com/maps/dir/?api=1&destination=1.280866807,103.8
102982
https://www.google.com/maps/dir/?api=1&destination=1.37782876,103.94
23643
https://www.google.com/maps/dir/?api=1&destination=1.310522321,103.8
362252
https://www.google.com/maps/dir/?api=1&destination=1.332643717,103.9
152553","E-wasteaccepted: All regulated consumer products under First Schedule at
https://go.gov.sg/prod-def-sl",https://alba-ewaste.sg,
2,223 CHOA CHU KANG CENTRAL,,1. Permanent E-bin,223 CHOA CHU KANG CENTRAL,680223,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
